"","Round","Age","Sex","Cage","numMice","Trial","segment","Time","endDate","endTime","trialDur","cageType","trialType","TrueZero","Chewed","file_name","numVoids","totUrine","FP_Area","pct_cover","ChewSize"
"93",1,"Old","F",82,2,"10042023_82","D2","dark","10/6/2023","6:00:00 AM",12,"latrine","Record","","","20231006_06.00_C5_082_F_latrine.csv",9,21.604,444.586,4.85935229629363,NA
"94",1,"Old","M",83,2,"","","light","10/2/2023","6:00:00 PM",12,"latrine","Accl","Y","","",0,0,449.829218543046,0,NA
"95",1,"Old","M",83,2,"","","dark","10/3/2023","6:00:00 AM",12,"latrine","Accl","","","20231003_06.00_C5_083_M_latrine.csv",53,3.06,426.321,0.717769005045494,NA
"96",1,"Old","M",83,2,"","","light","10/3/2023","6:00:00 PM",12,"latrine","Accl","Y","","",0,0,449.829218543046,0,NA
"97",1,"Old","M",83,2,"","","dark","10/4/2023","6:00:00 AM",12,"latrine","Accl","","","20231004_06.00_C5_083_M_latrine.csv",21,2.187,432.293,0.505906873347475,NA
"98",1,"Old","M",83,2,"10042023_83","L1","light","10/4/2023","6:00:00 PM",12,"latrine","Record","Y","","",0,0,449.829218543046,0,NA
"99",1,"Old","M",83,2,"10042023_83","D1","dark","10/5/2023","6:00:00 AM",12,"latrine","Record","","","20231005_06.00_C5_083_M_latrine.csv",10,16.394,444.454,3.68857069573004,NA
"100",1,"Old","M",83,2,"10042023_83","L2","light","10/5/2023","6:00:00 PM",12,"latrine","Record","Y","","",0,0,449.829218543046,0,NA
"101",1,"Old","M",83,2,"10042023_83","D2","dark","10/6/2023","6:00:00 AM",12,"latrine","Record","","","20231006_06.00_C5_083_M_latrine.csv",95,5.229,449.897,1.16226602978015,NA
"102",1,"Young","F",84,4,"","","light","10/17/2023","6:00:00 PM",12,"latrine","Accl","Y","","",0,0,449.829218543046,0,NA
"103",1,"Young","F",84,4,"","","dark","10/18/2023","6:00:00 AM",12,"latrine","Accl","Y","Y","20231018_06.00_C6_084_F_latrine.csv",0,0,361.757,19.5790346452602,NA
"104",1,"Young","F",84,4,"","","light","10/18/2023","6:00:00 PM",12,"latrine","Accl","Y","Y","20231018_18.00_C6_084_F_latrine.csv",0,0,431.693,4.03180091364181,NA
"105",1,"Young","F",84,4,"","","dark","10/19/2023","6:00:00 AM",12,"latrine","Accl","","Y","20231019_06.00_C6_084_F_latrine.csv",4,11.558,451.404,2.56045582227893,"smallChew"
"106",1,"Young","F",84,4,"","","light","10/19/2023","6:00:00 PM",12,"latrine","Accl","Y","Y","20231019_18.00_C6_084_F_latrine.csv",0,0,409.334,9.00235397651724,NA
"107",1,"Young","F",84,4,"","","light","10/23/2023","6:00:00 PM",12,"latrine","Accl","Y","Y","20231023_18.00_C6_084_F_latrine.csv",0,0,401.295,10.789476659663,NA
"108",1,"Young","F",84,4,"","","dark","10/24/2023","6:00:00 AM",12,"latrine","Accl","","Y","20231024_06.00_C6_084_F_latrine.csv",17,13.891,406.841,12.6446251595823,"bigChew"
"109",1,"Young","F",84,4,"","","light","10/24/2023","6:00:00 PM",12,"latrine","Accl","Y","","",0,0,449.829218543046,0,NA
"110",1,"Young","F",84,4,"","","dark","10/25/2023","6:00:00 AM",12,"latrine","Accl","","Y","20231025_06.00_C6_084_F_latrine_ps.csv",19,5.198,435.595,4.31991025527097,"bigChew"
"111",1,"Young","F",84,4,"10252023_84","L1","light","10/25/2023","6:00:00 PM",12,"latrine","Record","","Y","20231025_18.00_C6_084_F_latrine_ps.csv",24,9.489,457.293,2.07503722995979,"smallChew"
"112",1,"Young","F",84,4,"10252023_84","D1","dark","10/26/2023","6:00:00 AM",12,"latrine","Record","","Y","20231026_06.00_C6_084_F_latrine.csv",9,7.9,449.338,1.86542318665397,"bigChew"
"113",1,"Young","F",84,4,"10252023_84","L2","light","10/26/2023","6:00:00 PM",12,"latrine","Record","","Y","20231026_18.00_C6_084_F_latrine_ps.csv",28,6.332,460.014,1.37647984626555,"smallChew"
"114",1,"Young","F",84,4,"10252023_84","D2","dark","10/27/2023","6:00:00 AM",12,"latrine","Record","","Y","20231027_06.00_C6_084_F_latrine_ps.csv",91,37.048,454.381,8.15350993989626,"smallChew"
"115",1,"Young","F",84,4,"10272023_84","L1","light","10/27/2023","6:00:00 PM",12,"home","Ctrl","","Y","20231027_18.00_C6_084_F_home.csv",8,48.469,376.93,26.9809548913133,"bigChew"
"116",1,"Young","F",84,4,"10272023_84","L1","light","10/27/2023","6:00:00 PM",12,"latrine","Ctrl","","Y","20231027_18.00_C6_084_F_latrine_ps.csv",16,11.735,445.988,3.4626960412879,"bigChew"
"117",1,"Young","F",84,4,"10272023_84","D1","dark","10/28/2023","6:00:00 AM",12,"home","Ctrl","","Y","20231028_06.00_C6_084_F_home.csv",26,46.331,392.375,23.0721381059231,"bigChew"
"118",1,"Young","F",84,4,"10272023_84","D1","dark","10/28/2023","6:00:00 AM",12,"latrine","Ctrl","","Y","20231028_06.00_C6_084_F_latrine_ps.csv",88,29.967,308.591,38.0600484551812,"bigChew"
"119",1,"Young","F",85,4,"","","light","10/17/2023","6:00:00 PM",12,"latrine","Accl","","","20231017_18.00_C6_085_F_latrine.csv",25,4.202,427.16,0.983706339544901,NA
"120",1,"Young","F",85,4,"","","dark","10/18/2023","6:00:00 AM",12,"latrine","Accl","","","20231018_06.00_C6_085_F_latrine.csv",57,5.389,446.674,1.2064727295522,NA
"121",1,"Young","F",85,4,"","","light","10/18/2023","6:00:00 PM",12,"latrine","Accl","","","20231018_18.00_C6_085_F_latrine.csv",28,1.489,445.694,0.334085718003832,NA
"122",1,"Young","F",85,4,"","","dark","10/19/2023","6:00:00 AM",12,"latrine","Accl","","Y","20231019_06.00_C6_085_F_latrine_ps.csv",37,15.386,445.457,4.3923822038598,"bigChew"
"123",1,"Young","F",85,4,"","","light","10/19/2023","6:00:00 PM",12,"latrine","Accl","","","20231019_18.00_C6_085_F_latrine.csv",30,26.91,427.682,6.29205811794745,NA
"124",1,"Young","F",85,4,"","","light","10/23/2023","6:00:00 PM",12,"latrine","Accl","","Y","20231023_18.00_C6_085_F_latrine_ps.csv",38,18.674,447.366,4.69894299252231,"bigChew"
"125",1,"Young","F",85,4,"","","dark","10/24/2023","6:00:00 AM",12,"latrine","Accl","","Y","20231024_06.00_C6_085_F_latrine_ps.csv",40,19.39,449.881,4.31002865202131,"smallChew"
"126",1,"Young","F",85,4,"","","light","10/24/2023","6:00:00 PM",12,"latrine","Accl","Y","","",0,0,449.829218543046,0,NA
"127",1,"Young","F",85,4,"","","dark","10/25/2023","6:00:00 AM",12,"latrine","Accl","","Y","20231025_06.00_C6_085_F_latrine.csv",61,7.713,421.418,8.03065186829109,"bigChew"
"128",1,"Young","F",85,4,"10252023_85","L1","light","10/25/2023","6:00:00 PM",12,"latrine","Record","Y","","",0,0,449.829218543046,0,NA
"129",1,"Young","F",85,4,"10252023_85","D1","dark","10/26/2023","6:00:00 AM",12,"latrine","Record","","Y","20231026_06.00_C6_085_F_latrine_ps.csv",39,16.061,444.518,4.75118504135168,"bigChew"
"130",1,"Young","F",85,4,"10252023_85","L2","light","10/26/2023","6:00:00 PM",12,"latrine","Record","","Y","20231026_18.00_C6_085_F_latrine_ps.csv",13,32.519,451.524,7.20205348995845,"smallChew"
"131",1,"Young","F",85,4,"10252023_85","D2","dark","10/27/2023","6:00:00 AM",12,"latrine","Record","","Y","20231027_06.00_C6_085_F_latrine_ps.csv",27,25.035,442.813,7.12519712411239,"bigChew"
"132",1,"Young","F",85,4,"10272023_85","L1","light","10/27/2023","6:00:00 PM",12,"home","Ctrl","","Y","20231027_18.00_C6_085_F_home_ps.csv",75,131.81,416.813,36.6419547127024,"bigChew"
"133",1,"Young","F",85,4,"10272023_85","L1","light","10/27/2023","6:00:00 PM",12,"latrine","Ctrl","","Y","20231027_18.00_C6_085_F_latrine_ps.csv",59,42.266,431.109,13.5576383278469,"bigChew"
"134",1,"Young","F",85,4,"10272023_85","D1","dark","10/28/2023","6:00:00 AM",12,"home","Ctrl","","Y","20231028_06.00_C6_085_F_home_ps.csv",84,67.856,369.544,32.9327692458177,"bigChew"
"135",1,"Young","F",85,4,"10272023_85","D1","dark","10/28/2023","6:00:00 AM",12,"latrine","Ctrl","","Y","20231028_06.00_C6_085_F_latrine_ps.csv",153,106.178,398.17,35.0882539498581,"bigChew"
"136",2,"Young","M",86,3,"","","dark","4/22/2024","6:00:00 AM",12,"latrine","Accl","","Y","20240422_06.00_C8_86_M_latrine.csv",226,127.285,446.57,29.0208401681568,"bigChew"
"137",2,"Young","M",86,3,"","","light","4/22/2024","6:00:00 PM",12,"latrine","Accl","","","20240422_18.00_C8_86_M_latrine.csv",187,48.822,441.739,11.0522276729019,NA
"138",2,"Young","M",86,3,"","","dark","4/23/2024","6:00:00 AM",12,"latrine","Accl","","Y","20240423_06.00_C8_86_M_latrine.csv",172,97.461,447.58,22.1662387485629,"bigChew"
"139",2,"Young","M",86,3,"","","light","4/23/2024","6:00:00 PM",12,"latrine","Accl","","Y","20240423_18.00_C8_86_M_latrine.csv",49,159.315,431.475,39.4970382578748,"bigChew"
