Round,Cohort,Age,Cage,Sex,numMice,Time,endDate,endTime,trialDur,cageType,Trial,segment,trialNum,trialType,fileName,TrueZero,Chewed,PhotoShop,CSV
1,6,Young,85,F,4,dark,10/18/2023,6:00:00 AM,12,latrine,,,1,Accl,20231018_06.00_C6_085_F_latrine.tiff,,,,20231018_06.00_C6_085_F_latrine.csv
1,6,Young,85,F,4,light,10/18/2023,6:00:00 PM,12,latrine,,,2,Accl,20231018_18.00_C6_085_F_latrine.tiff,,,,20231018_18.00_C6_085_F_latrine.csv
1,6,Young,85,F,4,dark,10/19/2023,6:00:00 AM,12,latrine,,,2,Accl,20231019_06.00_C6_085_F_latrine.tiff,,Y,Y,20231019_06.00_C6_085_F_latrine_ps.csv
1,6,Young,85,F,4,light,10/19/2023,6:00:00 PM,12,latrine,,,3,Accl,20231019_18.00_C6_085_F_latrine.tiff,,,,20231019_18.00_C6_085_F_latrine.csv
1,6,Young,85,F,4,light,10/23/2023,6:00:00 PM,12,latrine,,,4,Accl,20231023_18.00_C6_085_F_latrine.tiff,,Y,Y,20231023_18.00_C6_085_F_latrine_ps.csv
1,6,Young,85,F,4,dark,10/24/2023,6:00:00 AM,12,latrine,,,4,Accl,20231024_06.00_C6_085_F_latrine.tiff,,Y,Y,20231024_06.00_C6_085_F_latrine_ps.csv
1,6,Young,85,F,4,light,10/24/2023,6:00:00 PM,12,latrine,,,5,Accl,20231024_18.00_C6_085_F_latrine.tiff,Y,,,
1,6,Young,85,F,4,dark,10/25/2023,6:00:00 AM,12,latrine,,,5,Accl,20231025_06.00_C6_085_F_latrine.tiff,,Y,,20231025_06.00_C6_085_F_latrine.csv
1,6,Young,85,F,4,light,10/25/2023,6:00:00 PM,12,latrine,10252023_85,L1,6,Record,20231025_18.00_C6_085_F_latrine.tiff,Y,,,
1,6,Young,85,F,4,dark,10/26/2023,6:00:00 AM,12,latrine,10252023_85,D1,6,Record,20231026_06.00_C6_085_F_latrine.tiff,,Y,Y,20231026_06.00_C6_085_F_latrine_ps.csv
1,6,Young,85,F,4,light,10/26/2023,6:00:00 PM,12,latrine,10252023_85,L2,7,Record,20231026_18.00_C6_085_F_latrine.tiff,,Y,Y,20231026_18.00_C6_085_F_latrine_ps.csv
1,6,Young,85,F,4,dark,10/27/2023,6:00:00 AM,12,latrine,10252023_85,D2,7,Record,20231027_06.00_C6_085_F_latrine.tiff,,Y,Y,20231027_06.00_C6_085_F_latrine_ps.csv
1,6,Young,85,F,4,light,10/27/2023,6:00:00 PM,12,home,10272023_85,L1,8,Ctrl,20231027_18.00_C6_085_F_home.tiff,,Y,Y,20231027_18.00_C6_085_F_home_ps.csv
1,6,Young,85,F,4,light,10/27/2023,6:00:00 PM,12,latrine,10272023_85,L1,8,Ctrl,20231027_18.00_C6_085_F_latrine.tiff,,Y,Y,20231027_18.00_C6_085_F_latrine_ps.csv
